858,05/12/2025 - 05/18/2025,Executive Diamond,Colombia,3703353,"$4,813.23",DETALLE,CALIFICACIÓN
857,05/05/2025 - 05/11/2025,Diamond,Colombia,3695721,"$3,502.17",DETALLE,CALIFICACIÓN
856,04/28/2025 - 05/04/2025,Gold,Colombia,3690432,$965.22,DETALLE,CALIFICACIÓN
855,04/21/2025 - 04/27/2025,Gold,Colombia,3685981,"$1,555.44",DETALLE,CALIFICACIÓN
854,04/14/2025 - 04/20/2025,Gold,Colombia,3682061,$566.20,DETALLE,CALIFICACIÓN
853,04/07/2025 - 04/13/2025,Gold,Colombia,3678173,$638.68,DETALLE,CALIFICACIÓN
852,03/31/2025 - 04/06/2025,Gold,Colombia,3673714,"$1,186.37",DETALLE,CALIFICACIÓN
851,03/24/2025 - 03/30/2025,Gold,Colombia,3669319,$664.16,DETALLE,CALIFICACIÓN
850,03/17/2025 - 03/23/2025,Silver,Colombia,3665333,$542.00,DETALLE,CALIFICACIÓN
849,03/10/2025 - 03/16/2025,Gold,Colombia,3661044,"$2,037.94",DETALLE,CALIFICACIÓN
848,03/03/2025 - 03/09/2025,Gold,Colombia,3656544,$596.05,DETALLE,CALIFICACIÓN
847,02/24/2025 - 03/02/2025,Platinum,Colombia,3652446,"$1,745.66",DETALLE,CALIFICACIÓN
846,02/17/2025 - 02/23/2025,Gold,Colombia,3648446,"$1,234.61",DETALLE,CALIFICACIÓN
845,02/10/2025 - 02/16/2025,Gold,Colombia,3640408,$652.30,DETALLE,CALIFICACIÓN
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
